date,trade_max,sanctions_max,fed_pressure_max
2018-11-30,40.0,0.0,0.0
2018-12-01,0.0,0.0,0.0
2018-12-02,0.0,0.0,0.0
2018-12-03,40.0,0.0,0.0
2018-12-04,78.0,0.0,0.0
2018-12-05,40.0,40.0,0.0
2018-12-06,0.0,0.0,0.0
2018-12-07,0.0,0.0,0.0
2018-12-08,40.0,0.0,0.0
2018-12-09,0.0,0.0,0.0
2018-12-10,0.0,0.0,0.0
2018-12-11,0.0,0.0,0.0
2018-12-12,0.0,0.0,0.0
2018-12-13,85.0,0.0,0.0
2018-12-14,70.0,0.0,0.0
2018-12-15,0.0,0.0,0.0
2018-12-16,0.0,0.0,0.0
2018-12-17,0.0,0.0,74.0
2018-12-18,0.0,5.0,50.0
2018-12-19,70.0,0.0,0.0
2018-12-20,20.0,10.0,0.0
2018-12-21,40.0,27.0,0.0
2018-12-22,50.0,15.0,0.0
2018-12-23,20.0,20.0,0.0
2018-12-24,52.0,25.0,74.0
2018-12-25,40.0,0.0,0.0
2018-12-26,0.0,0.0,0.0
2018-12-27,20.0,0.0,0.0
2018-12-28,85.0,50.0,0.0
2018-12-29,40.0,0.0,0.0
2018-12-30,0.0,0.0,0.0
2018-12-31,20.0,0.0,0.0
2019-01-01,78.0,0.0,0.0
2019-01-02,85.0,5.0,0.0
2019-01-03,40.0,0.0,0.0
2019-01-04,40.0,0.0,0.0
2019-01-05,20.0,0.0,0.0
2019-01-06,20.0,0.0,0.0
2019-01-07,0.0,0.0,0.0
2019-01-08,40.0,0.0,40.0
2019-01-09,40.0,0.0,0.0
2019-01-10,20.0,0.0,0.0
2019-01-11,87.0,0.0,0.0
2019-01-12,0.0,0.0,0.0
2019-01-13,0.0,52.0,0.0
2019-01-14,40.0,15.0,50.0
2019-01-15,0.0,0.0,0.0
2019-01-16,0.0,0.0,0.0
2019-01-17,0.0,0.0,0.0
2019-01-18,40.0,0.0,20.0
2019-01-19,50.0,20.0,0.0
2019-01-20,20.0,0.0,0.0
2019-01-21,45.0,0.0,0.0
2019-01-22,25.0,0.0,0.0
