date,trade_sum_ma5,sanctions_sum_ma5,fed_pressure_sum_ma5
2018-10-11,0.0,0.0,8.0
2018-10-12,4.0,16.0,8.0
2018-10-13,4.0,33.6,8.0
2018-10-14,4.0,37.6,0.0
2018-10-15,8.0,37.6,0.0
2018-10-16,12.0,55.4,0.0
2018-10-17,20.0,57.4,4.0
2018-10-18,32.0,47.8,4.0
2018-10-19,32.0,43.8,4.0
2018-10-20,28.0,43.8,4.0
2018-10-21,24.0,26.0,4.0
2018-10-22,32.0,16.0,0.0
2018-10-23,39.0,16.0,14.8
2018-10-24,41.0,16.0,14.8
2018-10-25,41.0,16.0,14.8
2018-10-26,41.0,16.0,14.8
2018-10-27,21.0,8.0,14.8
2018-10-28,2.0,0.0,0.0
2018-10-29,4.0,0.0,0.0
2018-10-30,14.0,0.0,5.0
2018-10-31,35.0,0.0,5.0
2018-11-01,43.0,0.0,5.0
2018-11-02,43.0,0.0,5.0
2018-11-03,51.0,8.0,5.0
2018-11-04,41.0,8.0,0.0
2018-11-05,20.0,8.0,0.0
2018-11-06,12.0,8.0,0.0
2018-11-07,16.0,8.0,0.0
2018-11-08,4.0,0.0,0.0
2018-11-09,4.0,11.4,0.0
2018-11-10,4.0,11.4,0.0
2018-11-11,4.0,11.4,0.0
2018-11-12,25.0,18.4,0.0
2018-11-13,48.0,18.4,0.0
2018-11-14,52.0,7.0,0.0
2018-11-15,52.0,7.0,0.0
2018-11-16,52.0,7.0,0.0
2018-11-17,27.0,0.0,0.0
2018-11-18,4.0,0.0,0.0
2018-11-19,21.0,6.0,0.0
2018-11-20,21.0,6.0,0.0
2018-11-21,21.0,6.0,0.0
2018-11-22,25.0,6.0,0.0
2018-11-23,25.0,6.0,0.0
2018-11-24,12.0,0.0,0.0
2018-11-25,38.0,0.0,10.0
2018-11-26,38.0,4.0,10.0
2018-11-27,48.0,8.0,10.0
2018-11-28,58.0,10.0,10.0
2018-11-29,66.0,10.0,10.0
2018-11-30,60.0,10.0,0.0
2018-12-01,60.0,6.0,0.0
2018-12-02,46.0,2.0,0.0
2018-12-03,60.0,0.0,0.0
2018-12-04,75.6,0.0,0.0
2018-12-05,64.6,8.0,0.0
2018-12-06,64.6,8.0,0.0
2018-12-07,64.6,8.0,0.0
2018-12-08,53.6,8.0,0.0
2018-12-09,22.0,8.0,0.0
2018-12-10,13.0,0.0,0.0
2018-12-11,13.0,0.0,0.0
2018-12-12,13.0,0.0,0.0
2018-12-13,17.0,0.0,0.0
2018-12-14,43.0,0.0,0.0
2018-12-15,43.0,0.0,0.0
2018-12-16,43.0,0.0,0.0
2018-12-17,43.0,0.0,14.8
2018-12-18,26.0,1.0,24.8
2018-12-19,14.0,1.0,24.8
2018-12-20,18.0,3.0,24.8
2018-12-21,28.0,8.4,24.8
2018-12-22,48.0,11.4,10.0
2018-12-23,52.0,14.4,0.0
2018-12-24,80.4,23.4,14.8
2018-12-25,84.4,21.4,14.8
2018-12-26,74.4,16.0,14.8
2018-12-27,58.4,13.0,14.8
2018-12-28,79.4,29.0,14.8
2018-12-29,45.0,20.0,0.0
2018-12-30,37.0,20.0,0.0
2018-12-31,42.0,20.0,0.0
2019-01-01,57.6,20.0,0.0
